env_type,planning_steps,planning_percentage,planning_mode,n_seeds_all,seeds_all,reward_mean_all,reward_std_all,episode_length_mean_all,episode_length_std_all,n_seeds_ratio,seeds_ratio,reward_per_step_mean,reward_per_step_std
BossFight,5,0.05,reward,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,40.5,24.475497952033574,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.05,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,40.5,24.475497952033574,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,42.1,26.37593600234881,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.1,reward,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,33.0,13.878040207464451,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.1,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,33.0,13.878040207464451,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,47.7,33.16338342208165,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.2,reward,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,75.3,76.5154232818456,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.2,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,75.3,76.5154232818456,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,77.7,133.955253723025,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.5,reward,10,"0,1,2,3,4,5,6,7,8,9",1.1,3.3,44.4,31.39171865317348,10,"0,1,2,3,4,5,6,7,8,9",0.00859375,0.02578125
BossFight,5,0.5,value,10,"0,1,2,3,4,5,6,7,8,9",1.1,3.3,44.4,31.39171865317348,10,"0,1,2,3,4,5,6,7,8,9",0.00859375,0.02578125
BossFight,5,1.0,random,10,"0,1,2,3,4,5,6,7,8,9",1.1,3.3,60.2,49.09338040917533,10,"0,1,2,3,4,5,6,7,8,9",0.0056701030927835,0.0170103092783505
BossFight,5,1.0,reward,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,24.8,9.977975746613138,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,1.0,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,29.3,19.56041921841145,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,10,0.05,reward,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,48.5,47.52736054106098,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,10,0.05,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,48.5,47.52736054106098,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,10,0.1,reward,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,28.8,16.92808317559906,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,10,0.1,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,28.8,16.92808317559906,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,10,0.2,reward,10,"0,1,2,3,4,5,6,7,8,9",1.1,3.3,73.4,98.6105471032384,10,"0,1,2,3,4,5,6,7,8,9",0.0084615384615384,0.0253846153846153
BossFight,10,0.2,value,10,"0,1,2,3,4,5,6,7,8,9",1.1,3.3,73.4,98.6105471032384,10,"0,1,2,3,4,5,6,7,8,9",0.0084615384615384,0.0253846153846153
BossFight,10,0.5,reward,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,63.8,52.51247470839667,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,10,0.5,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,63.8,52.51247470839667,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,0,0.0,baseline,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,716.7,370.79132945633984,10,"0,1,2,3,4,5,6,7,8,9",0.001763668430335,0.0052910052910052
CaveFlyer,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,822.4,358.060385968624,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,5,0.05,reward,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,901.1,296.7,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,5,0.05,value,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,815.6,316.88742480571864,10,"0,1,2,3,4,5,6,7,8,9",0.0015698587127158,0.0047095761381475
CaveFlyer,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,736.2,408.30498404991334,10,"0,1,2,3,4,5,6,7,8,9",0.0034722222222222,0.0104166666666666
CaveFlyer,5,0.1,reward,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,889.6,294.4785900536744,10,"0,1,2,3,4,5,6,7,8,9",0.0011160714285714,0.0033482142857142
CaveFlyer,5,0.1,value,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,775.9,358.6888484466725,10,"0,1,2,3,4,5,6,7,8,9",0.0020408163265306,0.0061224489795918
CaveFlyer,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,771.8,361.0032686832627,10,"0,1,2,3,4,5,6,7,8,9",0.0058920594706313,0.0120735042440272
CaveFlyer,5,0.2,reward,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,762.9,375.6656625245379,10,"0,1,2,3,4,5,6,7,8,9",0.0022172949002217,0.0066518847006651
CaveFlyer,5,0.2,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,830.0,345.63593563169906,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,663.2,417.965022460014,10,"0,1,2,3,4,5,6,7,8,9",0.0032154340836012,0.0096463022508038
CaveFlyer,5,0.5,reward,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,676.7,382.1285254989478,10,"0,1,2,3,4,5,6,7,8,9",0.0042848436902648,0.0094622944852293
CaveFlyer,5,0.5,value,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,735.1,385.26028863613755,10,"0,1,2,3,4,5,6,7,8,9",0.0025125628140703,0.007537688442211
CaveFlyer,5,1.0,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,737.7,393.91472427417585,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,5,1.0,reward,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,702.2,382.21166910496066,10,"0,1,2,3,4,5,6,7,8,9",0.0049659815396326,0.010149043711001
CaveFlyer,5,1.0,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,717.7,431.8675838726496,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,10,0.05,reward,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,737.9,354.00069208971894,10,"0,1,2,3,4,5,6,7,8,9",0.0026244300652524,0.0052783396356777
CaveFlyer,10,0.05,value,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,703.6,404.05499625669773,10,"0,1,2,3,4,5,6,7,8,9",0.0173659673659673,0.0393534018542416
CaveFlyer,10,0.1,reward,10,"0,1,2,3,4,5,6,7,8,9",3.0,4.58257569495584,663.6,373.79036905731,10,"0,1,2,3,4,5,6,7,8,9",0.0092840670816805,0.0178266483247737
CaveFlyer,10,0.1,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,828.7,308.1905417108059,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,10,0.2,reward,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,754.2,361.85875697570174,10,"0,1,2,3,4,5,6,7,8,9",0.0048543689320388,0.0145631067961165
CaveFlyer,10,0.2,value,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,879.3,296.64121426396565,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,10,0.5,reward,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,781.6,355.71679746674886,10,"0,1,2,3,4,5,6,7,8,9",0.001338688085676,0.0040160642570281
CaveFlyer,10,0.5,value,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,789.6,355.74828179486684,10,"0,1,2,3,4,5,6,7,8,9",0.0012091898428053,0.0036275695284159
Chaser,0,0.0,baseline,10,"0,1,2,3,4,5,6,7,8,9",0.383999977260828,0.2242855415598091,96.6,25.39370000610387,10,"0,1,2,3,4,5,6,7,8,9",0.0038335940055887,0.0018041840011572
Chaser,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.3959999784827232,0.2223151013884676,96.6,25.39370000610387,10,"0,1,2,3,4,5,6,7,8,9",0.0039871756031527,0.0018046791706783
Chaser,5,0.05,reward,10,"0,1,2,3,4,5,6,7,8,9",0.4079999789595604,0.2261327211191084,96.6,25.39370000610387,10,"0,1,2,3,4,5,6,7,8,9",0.0040871901736301,0.0017869015412798
Chaser,5,0.05,value,10,"0,1,2,3,4,5,6,7,8,9",0.3999999769032001,0.2290851525767272,96.6,25.39370000610387,10,"0,1,2,3,4,5,6,7,8,9",0.0039924320932064,0.0018661073581232
Chaser,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",0.4079999789595604,0.2261327211191084,96.3,25.04416099612842,10,"0,1,2,3,4,5,6,7,8,9",0.0040996827222764,0.0017961830819729
Chaser,5,0.1,reward,10,"0,1,2,3,4,5,6,7,8,9",0.4239999756217003,0.2221351102632986,105.2,43.01813571041869,10,"0,1,2,3,4,5,6,7,8,9",0.0040740476436506,0.0018012509900258
Chaser,5,0.1,value,10,"0,1,2,3,4,5,6,7,8,9",0.4239999756217003,0.2221351102632986,97.2,26.187019685332658,10,"0,1,2,3,4,5,6,7,8,9",0.0041967983586767,0.0016984403060241
Chaser,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",0.4159999810159206,0.2242855507017265,96.6,25.39370000610387,10,"0,1,2,3,4,5,6,7,8,9",0.0041804815972436,0.0017466316607702
Chaser,5,0.2,reward,10,"0,1,2,3,4,5,6,7,8,9",0.4399999730288982,0.2190890306196575,99.6,28.688673723265772,10,"0,1,2,3,4,5,6,7,8,9",0.0043325423121892,0.0016963911249713
Chaser,5,0.2,value,10,"0,1,2,3,4,5,6,7,8,9",0.4279999777674675,0.2220270438959,95.1,24.134829603707583,10,"0,1,2,3,4,5,6,7,8,9",0.0043128316433291,0.0016644847756
Chaser,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",0.4759999923408031,0.2342306831933664,118.3,42.17594100906345,10,"0,1,2,3,4,5,6,7,8,9",0.0038902504031142,0.0012723219100756
Chaser,5,0.5,reward,10,"0,1,2,3,4,5,6,7,8,9",0.4799999922513961,0.2352870937376194,115.7,51.22704363907799,10,"0,1,2,3,4,5,6,7,8,9",0.0041969481433265,0.0013497629002486
Chaser,5,0.5,value,10,"0,1,2,3,4,5,6,7,8,9",0.475999990105629,0.2321723834922542,111.3,43.92049635420802,10,"0,1,2,3,4,5,6,7,8,9",0.0042612756141156,0.0013746689219837
Chaser,5,1.0,random,10,"0,1,2,3,4,5,6,7,8,9",0.6919999331235885,0.4016166445423957,122.4,78.62467805975425,10,"0,1,2,3,4,5,6,7,8,9",0.0060021369657612,0.0014660722389283
Chaser,5,1.0,reward,10,"0,1,2,3,4,5,6,7,8,9",1.1879997968673706,0.4168643157642707,137.3,50.643953242218366,10,"0,1,2,3,4,5,6,7,8,9",0.0087991637090359,0.0011992405031353
Chaser,5,1.0,value,10,"0,1,2,3,4,5,6,7,8,9",0.703999999165535,0.2743428798218208,126.7,58.02594247403484,10,"0,1,2,3,4,5,6,7,8,9",0.0061286456518357,0.0022828288623566
Chaser,10,0.05,reward,10,"0,1,2,3,4,5,6,7,8,9",0.4079999789595604,0.2261327211191084,96.6,25.39370000610387,10,"0,1,2,3,4,5,6,7,8,9",0.0040871901736301,0.0017869015412798
Chaser,10,0.05,value,10,"0,1,2,3,4,5,6,7,8,9",0.391999976336956,0.2174764457181905,96.6,25.39370000610387,10,"0,1,2,3,4,5,6,7,8,9",0.0039345555346296,0.0016994121237912
Chaser,10,0.1,reward,10,"0,1,2,3,4,5,6,7,8,9",0.4239999756217003,0.2221351102632986,98.9,29.217973920174547,10,"0,1,2,3,4,5,6,7,8,9",0.0041675714324307,0.0017363284981249
Chaser,10,0.1,value,10,"0,1,2,3,4,5,6,7,8,9",0.4239999756217003,0.2221351102632986,99.0,29.110135691885738,10,"0,1,2,3,4,5,6,7,8,9",0.0041579138394102,0.0017231736746113
Chaser,10,0.2,reward,10,"0,1,2,3,4,5,6,7,8,9",0.4279999747872353,0.2169239679983159,104.4,27.839540226088506,10,"0,1,2,3,4,5,6,7,8,9",0.0040084442272781,0.0017045876187101
Chaser,10,0.2,value,10,"0,1,2,3,4,5,6,7,8,9",0.4359999723732471,0.2237498752599036,153.0,163.27706513775902,10,"0,1,2,3,4,5,6,7,8,9",0.0038493527182209,0.0021683079458976
Chaser,10,0.5,reward,10,"0,1,2,3,4,5,6,7,8,9",0.5240000061690807,0.235592907361272,122.2,62.6622693492663,10,"0,1,2,3,4,5,6,7,8,9",0.0045733333932509,0.0018391025563315
Chaser,10,0.5,value,10,"0,1,2,3,4,5,6,7,8,9",0.5240000061690807,0.235592907361272,122.2,62.6622693492663,10,"0,1,2,3,4,5,6,7,8,9",0.0045733333932509,0.0018391025563315
Climber,0,0.0,baseline,10,"0,1,2,3,4,5,6,7,8,9",2.6,4.476605857119878,751.3,385.2365636852245,10,"0,1,2,3,4,5,6,7,8,9",0.013714242942686,0.0300982936959699
