run_id,run_name,env_type,planning_steps,planning_percentage,planning_mode,seed,episode_length,final_reward,reward_per_step
8bs3ve1y,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_6_time_2026-04-02_19-33-06,BigFish,5,0.05,value,6,361.0,1.0,0.002770083102493
3pb8bcz6,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_7_time_2026-04-02_19-33-38,BigFish,5,0.05,value,7,178.0,0.0,0.0
8akkqj16,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_8_time_2026-04-02_19-34-04,BigFish,5,0.05,value,8,72.0,0.0,0.0
wi8yq8y3,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_9_time_2026-04-02_19-34-19,BigFish,5,0.05,value,9,78.0,1.0,0.0128205128205128
4tiz7vel,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_0_time_2026-04-09_19-22-44,BigFish,5,0.1,random,0,247.0,1.0,0.0040485829959514
a6ff88gz,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_1_time_2026-04-09_19-22-59,BigFish,5,0.1,random,1,47.0,0.0,0.0
nxqw1kyr,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_2_time_2026-04-09_19-23-10,BigFish,5,0.1,random,2,61.0,0.0,0.0
9srpeyk3,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_3_time_2026-04-09_19-23-20,BigFish,5,0.1,random,3,87.0,0.0,0.0
hcsdmyl2,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_4_time_2026-04-09_19-23-32,BigFish,5,0.1,random,4,236.0,0.0,0.0
l9k47uny,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_5_time_2026-04-09_19-23-47,BigFish,5,0.1,random,5,112.0,3.0,0.0267857142857142
zz5szpgd,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_6_time_2026-04-09_19-23-59,BigFish,5,0.1,random,6,239.0,1.0,0.00418410041841
c7i5pv7m,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_7_time_2026-04-09_19-24-14,BigFish,5,0.1,random,7,65.0,0.0,0.0
pkvjnf16,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_8_time_2026-04-09_19-24-25,BigFish,5,0.1,random,8,72.0,0.0,0.0
f0xq9bo8,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_9_time_2026-04-09_19-24-36,BigFish,5,0.1,random,9,87.0,1.0,0.0114942528735632
