"Step","0_roll_1_ent__seed_1_time_2025-07-30_13-22-42 - actor_critic/eval/planned_entropy","0_roll_1_ent__seed_1_time_2025-07-30_13-22-42 - actor_critic/eval/planned_entropy__MIN","0_roll_1_ent__seed_1_time_2025-07-30_13-22-42 - actor_critic/eval/planned_entropy__MAX"
"0","0.306526312467967","0.306526312467967","0.306526312467967"
"1","0.37595076412007056","0.37595076412007056","0.37595076412007056"
"2","0.21625040475344892","0.21625040475344892","0.21625040475344892"
"3","0.035381383448269764","0.035381383448269764","0.035381383448269764"
"4","0.07299061403244284","0.07299061403244284","0.07299061403244284"
"5","0.006016740485254527","0.006016740485254527","0.006016740485254527"
"6","0.15079199126831422","0.15079199126831422","0.15079199126831422"
"7","0.06363880479225915","0.06363880479225915","0.06363880479225915"
"8","0.3724267966082289","0.3724267966082289","0.3724267966082289"
"9","1.5198437063436057","1.5198437063436057","1.5198437063436057"
"10","1.7162576966400322","1.7162576966400322","1.7162576966400322"
"11","0.005563766398785547","0.005563766398785547","0.005563766398785547"
"12","0.08466588201349386","0.08466588201349386","0.08466588201349386"
"13","0.007539787938162984","0.007539787938162984","0.007539787938162984"
"14","0.2864158221589635","0.2864158221589635","0.2864158221589635"
"15","0.9075104848362306","0.9075104848362306","0.9075104848362306"
"16","0.036995615296497","0.036995615296497","0.036995615296497"
"17","0.787181705272836","0.787181705272836","0.787181705272836"
"18","1.15936635030865","1.15936635030865","1.15936635030865"
"19","1.714312400876123","1.714312400876123","1.714312400876123"
"20","0.2785804645683048","0.2785804645683048","0.2785804645683048"
"21","0.466333623545594","0.466333623545594","0.466333623545594"
"22","0.5142356503207731","0.5142356503207731","0.5142356503207731"
"23","0.2627121198233147","0.2627121198233147","0.2627121198233147"
"24","1.6348579640213632","1.6348579640213632","1.6348579640213632"
"25","1.67880933432791","1.67880933432791","1.67880933432791"
"26","1.1045363034131017","1.1045363034131017","1.1045363034131017"
"27","0.0001021168823232899","0.0001021168823232899","0.0001021168823232899"
"28","0.9940785540873034","0.9940785540873034","0.9940785540873034"
"29","0.5158574897140721","0.5158574897140721","0.5158574897140721"
"30","1.5923785932235512","1.5923785932235512","1.5923785932235512"
"31","0.27070454056987386","0.27070454056987386","0.27070454056987386"
"32","0.5660672656898538","0.5660672656898538","0.5660672656898538"
"33","0.6154398301212353","0.6154398301212353","0.6154398301212353"
"34","0.975406139709152","0.975406139709152","0.975406139709152"
"35","0.00037730776635441435","0.00037730776635441435","0.00037730776635441435"
"36","0.015030654873842258","0.015030654873842258","0.015030654873842258"
"37","6.776108136612776e-8","6.776108136612776e-8","6.776108136612776e-8"
"38","0.00005135016820274931","0.00005135016820274931","0.00005135016820274931"
"39","0.00003964919670912925","0.00003964919670912925","0.00003964919670912925"
"40","0.0001692580946538641","0.0001692580946538641","0.0001692580946538641"
"41","0.0011144925886754054","0.0011144925886754054","0.0011144925886754054"
"42","0.037383277627686375","0.037383277627686375","0.037383277627686375"
"43","0.2415334237719709","0.2415334237719709","0.2415334237719709"
"44","0.05953918985014831","0.05953918985014831","0.05953918985014831"
"45","0.8826660430752402","0.8826660430752402","0.8826660430752402"
"46","0.3184488807520431","0.3184488807520431","0.3184488807520431"
"47","1.013428924075156","1.013428924075156","1.013428924075156"
"48","0.0029510832247092","0.0029510832247092","0.0029510832247092"
"49","0.000041075401470324815","0.000041075401470324815","0.000041075401470324815"
"50","0.0000085645318465519","0.0000085645318465519","0.0000085645318465519"
"51","0.0026110859523871812","0.0026110859523871812","0.0026110859523871812"
"52","0.4036557503171994","0.4036557503171994","0.4036557503171994"
"53","0.007201283085602261","0.007201283085602261","0.007201283085602261"
"54","1.5873438011195424","1.5873438011195424","1.5873438011195424"
"55","1.111816183831427e-8","1.111816183831427e-8","1.111816183831427e-8"
"56","0.035520243315467964","0.035520243315467964","0.035520243315467964"
"57","0.007125149859462891","0.007125149859462891","0.007125149859462891"
"58","0.3220373632557897","0.3220373632557897","0.3220373632557897"
"59","0.02716419481317751","0.02716419481317751","0.02716419481317751"
"60","0.04913970529657112","0.04913970529657112","0.04913970529657112"
"61","0.6237339084374078","0.6237339084374078","0.6237339084374078"
"62","1.5367788379740663","1.5367788379740663","1.5367788379740663"
"63","1.3729876347805279","1.3729876347805279","1.3729876347805279"
"64","0.27349089598999626","0.27349089598999626","0.27349089598999626"
"65","0.5680748191733753","0.5680748191733753","0.5680748191733753"
"66","0.5246908626276876","0.5246908626276876","0.5246908626276876"
"67","0.03859476104156887","0.03859476104156887","0.03859476104156887"
"68","0.23995458004138762","0.23995458004138762","0.23995458004138762"
"69","0.28786671079730486","0.28786671079730486","0.28786671079730486"
"70","0.06989204560751032","0.06989204560751032","0.06989204560751032"
"71","0.6269994720163281","0.6269994720163281","0.6269994720163281"
"72","0.24710114711534076","0.24710114711534076","0.24710114711534076"
"73","0.0919707967387711","0.0919707967387711","0.0919707967387711"
"74","0.0002659643255231786","0.0002659643255231786","0.0002659643255231786"
"75","0.3937958989519092","0.3937958989519092","0.3937958989519092"
"76","0.289119217447876","0.289119217447876","0.289119217447876"
"77","1.1383396654228377","1.1383396654228377","1.1383396654228377"
"78","0.22906036052031437","0.22906036052031437","0.22906036052031437"
"79","0.01982017553266034","0.01982017553266034","0.01982017553266034"
"80","7.322365034853738e-7","7.322365034853738e-7","7.322365034853738e-7"
