Num. Planning Steps,Entropy Threshold,Reward Planning Mean,Reward Planning Std,Value Planning Mean,Value Planning Std,TD-Error Planning Mean,TD-Error Planning Std
0, 1, 88.0, 4.7, 0, 0, 0, 0
1, 1, 81.3, 6.1, 88.6, 4.5, 84.3, 5.4
2, 1, 86.0, 5.0, 88.0, 2.2, 85.0, 0.8
5, 1, 85.6, 3.3, 86.0, 6.7, 89.0, 7.5
10, 1, 82.0, 5.7, 87.0, 0.81, 88.3, 0.5
15, 1, 79.6, 2.4, 82.6, 7.8, 85.5, 1.5
20, 1, 85.5, 1.5, 88.3, 4.7, 88.6, 3.1
