env_type,mode,n_runs,reward_mean,reward_std,ep_length_mean,ep_length_std
Alien,reward,3,980.0,276.52606869274854,883.3333333333334,152.32494506445389
Alien,value,2,845.0,15.0,984.0,155.0
Amidar,value,1,184.0,0.0,858.0,0.0
Asterix,reward,1,800.0,0.0,386.0,0.0
BankHeist,reward,2,15.0,5.0,407.0,67.0
BankHeist,value,2,15.0,5.0,407.0,67.0
BattleZone,reward,2,1500.0,500.0,1391.0,265.0
BattleZone,value,2,3500.0,1500.0,1380.0,109.0
ChopperCommand,reward,2,1050.0,150.0,978.5,316.5
ChopperCommand,value,3,1066.6666666666667,169.96731711975949,1606.6666666666667,1169.7020513314017
Frostbite,reward,3,240.0,21.602468994692867,544.0,33.595634637057636
Frostbite,value,2,270.0,0.0,647.0,80.0
Hero,reward,3,3131.6666666666665,47.14045207910317,451.6666666666667,8.178562764256865
Hero,value,3,3165.0,0.0,459.3333333333333,16.048537489614297
Jamesbond,reward,2,275.0,125.0,1091.5,250.5
Jamesbond,value,2,325.0,25.0,1380.5,41.5
Kangaroo,reward,2,800.0,200.0,706.5,32.5
Kangaroo,value,3,2133.3333333333335,249.44382578492943,1104.3333333333333,108.91076877680901
Krull,reward,2,9810.0,10.0,1459.0,20.0
Krull,value,2,9370.0,1660.0,1335.0,154.0
PrivateEye,reward,2,100.0,0.0,2692.0,0.0
PrivateEye,value,3,100.0,0.0,2692.0,0.0
RoadRunner,reward,3,11233.333333333334,3118.047822311618,1291.0,113.26370410094606
RoadRunner,value,2,11950.0,1350.0,1309.0,33.0
Seaquest,reward,2,1310.0,210.0,2043.5,230.5
Seaquest,value,2,1030.0,190.0,1937.0,323.0
