run_id,run_name,env_type,planning_steps,planning_percentage,planning_mode,seed,episode_length,final_reward,reward_per_step
yevfgg9t,BigFish_5_roll_0_inner_1_pct_1_max_reward_seed_2_time_2026-04-11_21-08-51,BigFish,5,1.0,reward,2,44.0,0.0,0.0
mxzf1uch,BigFish_5_roll_0_inner_1_pct_1_max_reward_seed_3_time_2026-04-11_21-10-03,BigFish,5,1.0,reward,3,88.0,0.0,0.0
isw9i902,BigFish_5_roll_0_inner_1_pct_1_max_reward_seed_4_time_2026-04-11_21-12-24,BigFish,5,1.0,reward,4,124.0,1.0,0.008064516129032258
9x16opo4,BigFish_5_roll_0_inner_1_pct_1_max_reward_seed_5_time_2026-04-11_21-15-39,BigFish,5,1.0,reward,5,121.0,3.0,0.024793388429752067
c5517deo,BigFish_5_roll_0_inner_1_pct_1_max_reward_seed_6_time_2026-04-11_21-18-50,BigFish,5,1.0,reward,6,98.0,1.0,0.01020408163265306
2q02zdrm,BigFish_5_roll_0_inner_1_pct_1_max_reward_seed_7_time_2026-04-11_21-21-27,BigFish,5,1.0,reward,7,63.0,0.0,0.0
tvu85ri4,BigFish_5_roll_0_inner_1_pct_1_max_reward_seed_8_time_2026-04-11_21-23-09,BigFish,5,1.0,reward,8,72.0,0.0,0.0
9ywnmtxl,BigFish_5_roll_0_inner_1_pct_1_max_reward_seed_9_time_2026-04-11_21-25-06,BigFish,5,1.0,reward,9,125.0,2.0,0.016
p8esgsdo,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_0_time_2026-04-11_20-34-38,BigFish,5,1.0,value,0,278.0,3.0,0.01079136690647482
vgwsj5rl,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_1_time_2026-04-11_20-41-56,BigFish,5,1.0,value,1,48.0,0.0,0.0
w36hrrey,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_2_time_2026-04-11_20-43-14,BigFish,5,1.0,value,2,55.0,0.0,0.0
vxykwlxo,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_3_time_2026-04-11_20-44-45,BigFish,5,1.0,value,3,88.0,0.0,0.0
qvxzffps,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_4_time_2026-04-11_20-47-04,BigFish,5,1.0,value,4,113.0,0.0,0.0
9asd8fvf,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_5_time_2026-04-11_20-50-04,BigFish,5,1.0,value,5,106.0,2.0,0.018867924528301886
jv3lppz6,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_6_time_2026-04-11_20-52-53,BigFish,5,1.0,value,6,97.0,2.0,0.020618556701030927
xblwqx4o,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_7_time_2026-04-11_20-55-27,BigFish,5,1.0,value,7,64.0,0.0,0.0
cyx55o62,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_8_time_2026-04-11_20-57-10,BigFish,5,1.0,value,8,76.0,0.0,0.0
3sf70dxa,BigFish_5_roll_0_inner_1_pct_1_max_value_seed_9_time_2026-04-11_20-59-13,BigFish,5,1.0,value,9,73.0,0.0,0.0
uukrmpxo,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_0_time_2026-03-31_16-32-28,BigFish,10,0.05,reward,0,246.0,1.0,0.0040650406504065045
yxcb7gs6,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_1_time_2026-03-31_16-33-10,BigFish,10,0.05,reward,1,46.0,0.0,0.0
l5b9kkbm,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_2_time_2026-03-31_16-33-23,BigFish,10,0.05,reward,2,59.0,0.0,0.0
eor4a1jl,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_3_time_2026-04-02_20-12-19,BigFish,10,0.05,reward,3,86.0,0.0,0.0
m3zvu2vv,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_4_time_2026-04-02_20-12-33,BigFish,10,0.05,reward,4,224.0,0.0,0.0
glmcad57,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_5_time_2026-04-02_20-13-14,BigFish,10,0.05,reward,5,115.0,3.0,0.02608695652173913
0a08b69x,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_6_time_2026-04-02_20-13-36,BigFish,10,0.05,reward,6,364.0,1.0,0.0027472527472527475
rirw6gkm,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_7_time_2026-04-02_20-14-18,BigFish,10,0.05,reward,7,72.0,0.0,0.0
1xgg3qq2,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_8_time_2026-04-02_20-14-44,BigFish,10,0.05,reward,8,73.0,0.0,0.0
bdu7t32l,BigFish_10_roll_0_inner_0.05_pct_1_max_reward_seed_9_time_2026-04-02_20-15-00,BigFish,10,0.05,reward,9,140.0,2.0,0.014285714285714285
dzvzbnxp,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_0_time_2026-03-31_16-31-00,BigFish,10,0.05,value,0,243.0,1.0,0.00411522633744856
1q8nbpeo,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_1_time_2026-03-31_16-31-59,BigFish,10,0.05,value,1,46.0,0.0,0.0
82tywztc,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_2_time_2026-03-31_16-32-12,BigFish,10,0.05,value,2,58.0,0.0,0.0
zrwsx7xs,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_3_time_2026-04-02_20-09-21,BigFish,10,0.05,value,3,86.0,0.0,0.0
0i95w4i1,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_4_time_2026-04-02_20-09-35,BigFish,10,0.05,value,4,117.0,1.0,0.008547008547008548
2f0ezd6j,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_5_time_2026-04-02_20-09-59,BigFish,10,0.05,value,5,111.0,3.0,0.02702702702702703
s7thba6q,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_6_time_2026-04-02_20-10-23,BigFish,10,0.05,value,6,356.0,1.0,0.0028089887640449437
lurtkl06,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_7_time_2026-04-02_20-11-04,BigFish,10,0.05,value,7,72.0,0.0,0.0
glf1k1e3,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_8_time_2026-04-02_20-11-31,BigFish,10,0.05,value,8,73.0,0.0,0.0
h1qir6ex,BigFish_10_roll_0_inner_0.05_pct_1_max_value_seed_9_time_2026-04-02_20-11-46,BigFish,10,0.05,value,9,142.0,2.0,0.014084507042253521
ao9oav4j,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_0_time_2026-03-31_16-35-19,BigFish,10,0.1,reward,0,248.0,1.0,0.004032258064516129
s0254pp8,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_1_time_2026-03-31_16-36-15,BigFish,10,0.1,reward,1,47.0,0.0,0.0
fno1nj7m,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_2_time_2026-03-31_16-36-31,BigFish,10,0.1,reward,2,57.0,0.0,0.0
qszb853m,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_3_time_2026-04-02_20-19-23,BigFish,10,0.1,reward,3,85.0,0.0,0.0
2uq5t1rs,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_4_time_2026-04-02_20-19-52,BigFish,10,0.1,reward,4,223.0,0.0,0.0
9qim7xc2,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_5_time_2026-04-02_20-20-50,BigFish,10,0.1,reward,5,115.0,3.0,0.02608695652173913
cbm0uuxu,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_6_time_2026-04-02_20-21-27,BigFish,10,0.1,reward,6,127.0,2.0,0.015748031496062992
c5o9xrk2,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_7_time_2026-04-02_20-22-03,BigFish,10,0.1,reward,7,183.0,0.0,0.0
vf33me7o,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_8_time_2026-04-02_20-22-53,BigFish,10,0.1,reward,8,72.0,0.0,0.0
1g8p3jto,BigFish_10_roll_0_inner_0.1_pct_1_max_reward_seed_9_time_2026-04-02_20-23-14,BigFish,10,0.1,reward,9,133.0,1.0,0.007518796992481203
d3uy3rt1,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_0_time_2026-03-31_16-33-42,BigFish,10,0.1,value,0,245.0,1.0,0.004081632653061225
l5qok9c5,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_1_time_2026-03-31_16-34-43,BigFish,10,0.1,value,1,47.0,0.0,0.0
7662yj7r,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_2_time_2026-03-31_16-35-00,BigFish,10,0.1,value,2,57.0,0.0,0.0
9t0s9uxi,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_3_time_2026-04-02_20-15-23,BigFish,10,0.1,value,3,86.0,1.0,0.011627906976744186
t4urjgmb,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_4_time_2026-04-02_20-15-47,BigFish,10,0.1,value,4,118.0,1.0,0.00847457627118644
r6ohqi5z,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_5_time_2026-04-02_20-16-28,BigFish,10,0.1,value,5,115.0,3.0,0.02608695652173913
kyww38hb,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_6_time_2026-04-02_20-16-52,BigFish,10,0.1,value,6,99.0,2.0,0.020202020202020204
t8g0xjni,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_7_time_2026-04-02_20-17-27,BigFish,10,0.1,value,7,186.0,0.0,0.0
rvzhnof9,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_8_time_2026-04-02_20-18-17,BigFish,10,0.1,value,8,74.0,0.0,0.0
we0tyezm,BigFish_10_roll_0_inner_0.1_pct_1_max_value_seed_9_time_2026-04-02_20-18-38,BigFish,10,0.1,value,9,145.0,2.0,0.013793103448275862
gbh2yon5,BigFish_10_roll_0_inner_0.2_pct_1_max_reward_seed_0_time_2026-03-31_16-38-56,BigFish,10,0.2,reward,0,253.0,1.0,0.003952569169960474
unbgpnq3,BigFish_10_roll_0_inner_0.2_pct_1_max_reward_seed_1_time_2026-03-31_16-40-25,BigFish,10,0.2,reward,1,47.0,0.0,0.0
bxxcoch4,BigFish_10_roll_0_inner_0.2_pct_1_max_reward_seed_2_time_2026-03-31_16-40-42,BigFish,10,0.2,reward,2,59.0,0.0,0.0
