env_type,planning_steps,planning_percentage,planning_mode,n_seeds_all,seeds_all,reward_mean_all,reward_std_all,episode_length_mean_all,episode_length_std_all,n_seeds_ratio,seeds_ratio,reward_per_step_mean,reward_per_step_std
CoinRun,5,0.05,reward,3,"0,1,2",6.666666666666667,4.714045207910317,354.6666666666667,456.4079559146863,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,5,0.05,value,3,"0,1,2",10.0,0.0,209.66666666666666,252.1115273489537,3,"0,1,2",0.24398451960289416,0.18723739595378486
CoinRun,5,0.1,reward,3,"0,1,2",6.666666666666667,4.714045207910317,354.6666666666667,456.4079559146863,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,5,0.1,value,3,"0,1,2",6.666666666666667,4.714045207910317,354.3333333333333,456.6357653778581,3,"0,1,2",0.23809523809523805,0.19440394783993475
CoinRun,5,0.2,reward,3,"0,1,2",6.666666666666667,4.714045207910317,354.6666666666667,456.4079559146863,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,5,0.2,value,3,"0,1,2",6.666666666666667,4.714045207910317,268.0,333.8752261948566,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,5,0.5,reward,3,"0,1,2",6.666666666666667,4.714045207910317,354.6666666666667,456.4079559146863,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,5,0.5,value,3,"0,1,2",10.0,0.0,59.666666666666664,40.14418457953226,3,"0,1,2",0.26523504582149676,0.16057522220194526
CoinRun,10,0.05,reward,3,"0,1,2",6.666666666666667,4.714045207910317,354.6666666666667,456.4079559146863,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,10,0.05,value,3,"0,1,2",10.0,0.0,331.0,422.9452289205621,3,"0,1,2",0.23983762612445617,0.1900791646601936
CoinRun,10,0.1,reward,3,"0,1,2",6.666666666666667,4.714045207910317,354.6666666666667,456.4079559146863,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,10,0.1,value,3,"0,1,2",6.666666666666667,4.714045207910317,354.6666666666667,456.4079559146863,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,10,0.2,reward,3,"0,1,2",6.666666666666667,4.714045207910317,354.6666666666667,456.4079559146863,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,10,0.2,value,3,"0,1,2",10.0,0.0,101.0,97.99319704278795,3,"0,1,2",0.2501965399698201,0.17776051461724512
CoinRun,10,0.5,reward,3,"0,1,2",6.666666666666667,4.714045207910317,354.6666666666667,456.4079559146863,3,"0,1,2",0.23624953857511996,0.19442147039149046
CoinRun,10,0.5,value,3,"0,1,2",10.0,0.0,67.0,47.265209192385896,3,"0,1,2",0.2534271284271284,0.1665567264812946
