env_type,planning_steps,planning_percentage,planning_mode,n_seeds_all,seeds_all,reward_mean_all,reward_std_all,episode_length_mean_all,episode_length_std_all,n_seeds_ratio,seeds_ratio,reward_per_step_mean,reward_per_step_std
FruitBot,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",-2.2,4.874423042781577,74.6,15.107613974417005,10,"0,1,2,3,4,5,6,7,8,9",-0.032599117479895176,0.06305333128237332
Heist,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,913.0,261.0,10,"0,1,2,3,4,5,6,7,8,9",0.007692307692307693,0.023076923076923075
Heist,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,833.0,334.00748494607126,10,"0,1,2,3,4,5,6,7,8,9",0.01213235294117647,0.024278627913380965
Heist,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,938.9,183.3,10,"0,1,2,3,4,5,6,7,8,9",0.0025706940874035992,0.007712082262210798
Heist,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,907.2,278.4,10,"0,1,2,3,4,5,6,7,8,9",0.01388888888888889,0.04166666666666667
Jumper,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",4.0,4.898979485566356,462.4,445.81031840907406,10,"0,1,2,3,4,5,6,7,8,9",0.15703163618388533,0.368654047777172
Jumper,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",4.0,4.898979485566356,297.8,373.77073186647453,10,"0,1,2,3,4,5,6,7,8,9",0.16936850738108256,0.3665665386169067
Jumper,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",4.0,4.898979485566356,475.8,425.541725333721,10,"0,1,2,3,4,5,6,7,8,9",0.15724477377315196,0.3704680448120658
Jumper,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,324.6,390.647718539351,10,"0,1,2,3,4,5,6,7,8,9",0.137987012987013,0.37268781749632
Leaper,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",3.0,4.58257569495584,111.8,64.9073185395915,10,"0,1,2,3,4,5,6,7,8,9",0.03508442526898903,0.05745902534326901
Leaper,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",3.0,4.58257569495584,145.2,65.13340156939448,10,"0,1,2,3,4,5,6,7,8,9",0.03040570540570541,0.04899547296394807
Leaper,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",3.0,4.58257569495584,212.5,145.85900726386424,10,"0,1,2,3,4,5,6,7,8,9",0.03946137033280201,0.09252392531678864
Leaper,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",4.0,4.898979485566356,97.8,54.519354361547606,10,"0,1,2,3,4,5,6,7,8,9",0.03136648976405519,0.03922438507678129
Maze,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,427.6,154.27002301160132,10,"0,1,2,3,4,5,6,7,8,9",0.056522629531026006,0.15702683249137694
Maze,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,410.7,178.883230069227,10,"0,1,2,3,4,5,6,7,8,9",0.045415959252971136,0.1003719076607497
Maze,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,407.6,184.80216448948863,10,"0,1,2,3,4,5,6,7,8,9",0.05277777777777778,0.10573814617041266
Maze,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,401.3,197.40012664636262,10,"0,1,2,3,4,5,6,7,8,9",0.30952380952380953,0.6213327786047567
Miner,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.3,0.45825756949558405,606.1,482.4534070767871,10,"0,1,2,3,4,5,6,7,8,9",0.004366666666666666,0.012439587345781745
Miner,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",0.5,0.6708203932499369,802.9,394.22289380501485,10,"0,1,2,3,4,5,6,7,8,9",0.0005,0.000670820393249937
Miner,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",0.4,0.66332495807108,704.4,451.5564638004864,10,"0,1,2,3,4,5,6,7,8,9",0.0004,0.00066332495807108
Miner,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",0.6,0.8,503.1,372.0705443864107,10,"0,1,2,3,4,5,6,7,8,9",0.0012351936432141938,0.0017572402989684988
Ninja,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,475.6,253.45500586889185,10,"0,1,2,3,4,5,6,7,8,9",0.0012919896640826872,0.003875968992248062
Ninja,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,418.9,241.54935313513056,10,"0,1,2,3,4,5,6,7,8,9",0.011494632535094963,0.022989739642206262
